      S          PHI         IOTA        SHEAR        VP         WELL        ITOR       ITOR'       PRES       PRES'
------------------------------------------------------------------------------------------------------------------------
  5.0000E-03  1.9709E-04  1.0483E+00  2.2780E-01  8.9898E+00  3.8118E+00 -7.0251E-19 -3.8688E-15  0.0000E+00  0.0000E+00
  1.0000E-02  3.9418E-04  1.0488E+00  3.5071E-01  8.9891E+00  3.2814E+00  5.3221E-19  5.2630E-15  0.0000E+00  0.0000E+00
  1.5000E-02  5.9127E-04  1.0493E+00  2.5169E-01  8.9885E+00  3.0391E+00  6.9187E-19 -5.0831E-15  0.0000E+00  0.0000E+00
  2.0000E-02  7.8836E-04  1.0497E+00  1.9445E-01  8.9879E+00  2.8827E+00 -9.5797E-20  4.1941E-15  0.0000E+00  0.0000E+00
  2.5000E-02  9.8545E-04  1.0500E+00  1.4794E-01  8.9874E+00  2.8021E+00 -6.0991E-18 -1.0973E-14  0.0000E+00  0.0000E+00
  3.0000E-02  1.1825E-03  1.0503E+00  1.1594E-01  8.9868E+00  2.7588E+00 -5.9075E-18  1.1190E-14  0.0000E+00  0.0000E+00
  3.5000E-02  1.3796E-03  1.0504E+00  9.2837E-02  8.9863E+00  2.7328E+00  1.1304E-17  8.2456E-15  0.0000E+00  0.0000E+00
  4.0000E-02  1.5767E-03  1.0506E+00  7.6966E-02  8.9857E+00  2.7143E+00  7.4509E-19 -2.0170E-14  0.0000E+00  0.0000E+00
  4.5000E-02  1.7738E-03  1.0507E+00  6.3859E-02  8.9852E+00  2.6986E+00 -2.0990E-17 -4.3757E-15  0.0000E+00  0.0000E+00
  5.0000E-02  1.9709E-03  1.0508E+00  5.4206E-02  8.9847E+00  2.6824E+00 -1.5115E-18  2.6376E-14  0.0000E+00  0.0000E+00
  5.5000E-02  2.1680E-03  1.0509E+00  4.6261E-02  8.9841E+00  2.6638E+00  8.3024E-19 -2.3733E-14  0.0000E+00  0.0000E+00
  6.0000E-02  2.3651E-03  1.0510E+00  4.0504E-02  8.9836E+00  2.6438E+00 -9.5584E-18  1.1999E-14  0.0000E+00  0.0000E+00
  6.5000E-02  2.5622E-03  1.0511E+00  3.5224E-02  8.9831E+00  2.6229E+00  1.8649E-17  1.9864E-14  0.0000E+00  0.0000E+00
  7.0000E-02  2.7593E-03  1.0511E+00  3.1218E-02  8.9826E+00  2.6011E+00  1.0005E-17 -2.9629E-14  0.0000E+00  0.0000E+00
  7.5000E-02  2.9563E-03  1.0512E+00  2.7645E-02  8.9821E+00  2.5785E+00 -9.1327E-18  8.0089E-15  0.0000E+00  0.0000E+00
  8.0000E-02  3.1534E-03  1.0512E+00  2.5205E-02  8.9816E+00  2.5559E+00  9.2178E-18  1.2724E-14  0.0000E+00  0.0000E+00
  8.5000E-02  3.3505E-03  1.0513E+00  2.2894E-02  8.9811E+00  2.5338E+00  3.2230E-17  1.3278E-14  0.0000E+00  0.0000E+00
  9.0000E-02  3.5476E-03  1.0513E+00  2.1399E-02  8.9806E+00  2.5120E+00  2.8313E-18 -4.6498E-14  0.0000E+00  0.0000E+00
  9.5000E-02  3.7447E-03  1.0513E+00  2.0061E-02  8.9801E+00  2.4903E+00 -3.3572E-17  5.3645E-15  0.0000E+00  0.0000E+00
  1.0000E-01  3.9418E-03  1.0514E+00  1.9459E-02  8.9796E+00  2.4690E+00 -2.7568E-17  1.4194E-15  0.0000E+00  0.0000E+00
  1.0500E-01  4.1389E-03  1.0514E+00  1.8821E-02  8.9791E+00  2.4484E+00 -4.5131E-18  2.4636E-14  0.0000E+00  0.0000E+00
  1.1000E-01  4.3360E-03  1.0514E+00  1.8719E-02  8.9786E+00  2.4281E+00  1.9372E-17  2.3579E-15  0.0000E+00  0.0000E+00
  1.1500E-01  4.5331E-03  1.0515E+00  1.8627E-02  8.9782E+00  2.4079E+00 -1.0091E-17 -3.5659E-14  0.0000E+00  0.0000E+00
  1.2000E-01  4.7302E-03  1.0515E+00  1.9034E-02  8.9777E+00  2.3881E+00 -2.3034E-17  2.1031E-14  0.0000E+00  0.0000E+00
  1.2500E-01  4.9272E-03  1.0515E+00  1.9349E-02  8.9772E+00  2.3688E+00 -3.3082E-17 -3.2390E-14  0.0000E+00  0.0000E+00
  1.3000E-01  5.1243E-03  1.0516E+00  2.0068E-02  8.9767E+00  2.3497E+00 -4.5983E-17  1.7808E-14  0.0000E+00  0.0000E+00
  1.3500E-01  5.3214E-03  1.0516E+00  2.0756E-02  8.9763E+00  2.3304E+00 -1.6137E-17  1.5932E-14  0.0000E+00  0.0000E+00
  1.4000E-01  5.5185E-03  1.0516E+00  2.1830E-02  8.9758E+00  2.3113E+00 -7.8341E-18 -6.5464E-15  0.0000E+00  0.0000E+00
  1.4500E-01  5.7156E-03  1.0517E+00  2.2787E-02  8.9754E+00  2.2926E+00 -7.2380E-18  7.2206E-15  0.0000E+00  0.0000E+00
  1.5000E-01  5.9127E-03  1.0517E+00  2.4054E-02  8.9749E+00  2.2740E+00 -3.6190E-18 -3.1291E-15  0.0000E+00  0.0000E+00
  1.5500E-01  6.1098E-03  1.0518E+00  2.5255E-02  8.9745E+00  2.2552E+00  1.0942E-17  1.9594E-14  0.0000E+00  0.0000E+00
  1.6000E-01  6.3069E-03  1.0518E+00  2.6738E-02  8.9740E+00  2.2366E+00 -1.4050E-18 -3.3557E-14  0.0000E+00  0.0000E+00
  1.6500E-01  6.5040E-03  1.0519E+00  2.8074E-02  8.9736E+00  2.2186E+00 -1.5583E-17  1.7526E-14  0.0000E+00  0.0000E+00
  1.7000E-01  6.7011E-03  1.0519E+00  2.9633E-02  8.9732E+00  2.2009E+00  1.4050E-17  1.5986E-14  0.0000E+00  0.0000E+00
  1.7500E-01  6.8981E-03  1.0520E+00  3.1107E-02  8.9727E+00  2.1831E+00  4.2066E-17  1.5697E-14  0.0000E+00  0.0000E+00
  1.8000E-01  7.0952E-03  1.0520E+00  3.2803E-02  8.9723E+00  2.1655E+00  1.1921E-17 -4.9791E-14  0.0000E+00  0.0000E+00
  1.8500E-01  7.2923E-03  1.0521E+00  3.4358E-02  8.9719E+00  2.1485E+00  1.1921E-18  3.7658E-14  0.0000E+00  0.0000E+00
  1.9000E-01  7.4894E-03  1.0521E+00  3.6110E-02  8.9715E+00  2.1318E+00 -1.2262E-17 -5.2878E-14  0.0000E+00  0.0000E+00
  1.9500E-01  7.6865E-03  1.0522E+00  3.7796E-02  8.9710E+00  2.1150E+00 -9.7074E-18  5.5770E-14  0.0000E+00  0.0000E+00
  2.0000E-01  7.8836E-03  1.0523E+00  3.9670E-02  8.9706E+00  2.0982E+00  4.6494E-17  7.8024E-15  0.0000E+00  0.0000E+00
  2.0500E-01  8.0807E-03  1.0523E+00  4.1412E-02  8.9702E+00  2.0820E+00  3.8234E-17 -1.7147E-14  0.0000E+00  0.0000E+00
  2.1000E-01  8.2778E-03  1.0524E+00  4.3309E-02  8.9698E+00  2.0659E+00  3.5849E-17  1.4450E-14  0.0000E+00  0.0000E+00
  2.1500E-01  8.4749E-03  1.0525E+00  4.5134E-02  8.9694E+00  2.0497E+00  5.6286E-17  8.6705E-15  0.0000E+00  0.0000E+00
  2.2000E-01  8.6720E-03  1.0526E+00  4.7113E-02  8.9690E+00  2.0334E+00  6.5398E-17  1.6378E-15  0.0000E+00  0.0000E+00
  2.2500E-01  8.8690E-03  1.0527E+00  4.8953E-02  8.9686E+00  2.0176E+00  3.8319E-19 -7.5199E-14  0.0000E+00  0.0000E+00
  2.3000E-01  9.0661E-03  1.0528E+00  5.0912E-02  8.9682E+00  2.0020E+00 -1.7286E-17  5.5210E-14  0.0000E+00  0.0000E+00
  2.3500E-01  9.2632E-03  1.0528E+00  5.2796E-02  8.9678E+00  1.9864E+00  2.6951E-17 -5.1551E-15  0.0000E+00  0.0000E+00
  2.4000E-01  9.4603E-03  1.0529E+00  5.4815E-02  8.9674E+00  1.9706E+00  4.3513E-17  2.3897E-14  0.0000E+00  0.0000E+00
